ICDO32_Code,ICDO32_Term,Site_Specific,Site_Subset_Codes,Site_Subset_Labels,Subset_Site_Count,Code_Allowed_Site_Count,Code_Allowed_Sites_Summary,Code_Allowed_Site_Codes,Rationale,Source,Source_Name
8000/3,"Hepatoblastoma, hepatocellular neoplasm NOS subtype",Yes,C220,C220=Liver,1,314,Adrenal (3); Anus (4); Biliary (4); Bladder (10); Bone-limbs (6); Bone-other (7); Brain (10); Breast (9); CNS (8); Cervix (4); Colon (10); Endocrine (8); Esophagus (8); Eye (9); Female genital (8); GI tract (3); Gallbladder (1); Gum (3); Heart/mediastinum (5); Hypopharynx (5); Ill-defined (8); Kidney (1); Larynx (6); Lip (9); Liver (2); Lung (6); Lymph nodes (8); Male genital (6); Meninges (3); Mouth (9); Nasal/middle ear (2); Nasopharynx (6); Oropharynx (7); Ovary (1); Palate (5); Pancreas (8); Penis (5); Peripheral nerves (9); Peritoneum/retroperitoneum (4); Pharynx (3); Placenta (1); Prostate (1); Pyriform sinus (1); Rectosigmoid (1); Rectum (1); Renal pelvis (1); Respiratory (3); Salivary (5); Sinuses (6); Small intestine (6); Soft tissue (9); Stomach (9); Testis (3); Thymus (1); Thyroid (1); Tongue (8); Tonsil (4); Trachea (1); Unknown primary (1); Ureter (1); Urinary (4); Uterus (7); Vagina (1); Vulva (5),"C000, C001, C002, C003, C004, C005, C006, C008, C009, C019, C020, C021, C022, C023, C024, C028, C029, C030, C031, C039, C040, C041, C048, C049, C050, C051, C052, C058, C059, C060, C061, C062, C068, C069, C079, C080, C081, C088, C089, C090, C091, C098, C099, C100, C101, C102, C103, C104, C108, C109, C110, C111, C112, C113, C118, C119, C129, C130, C131, C132, C138, C139, C140, C142, C148, C150, C151, C152, C153, C154, C155, C158, C159, C160, C161, C162, C163, C164, C165, C166, C168, C169, C170, C171, C172, C173, C178, C179, C180, C181, C182, C183, C184, C185, C186, C187, C188, C189, C199, C209, C210, C211, C212, C218, C220, C221, C239, C240, C241, C248, C249, C250, C251, C252, C253, C254, C257, C258, C259, C260, C268, C269, C300, C301, C310, C311, C312, C313, C318, C319, C320, C321, C322, C323, C328, C329, C339, C340, C341, C342, C343, C348, C349, C379, C381, C382, C383, C384, C388, C390, C398, C399, C400, C401, C402, C403, C408, C409, C410, C411, C412, C413, C414, C418, C419, C470, C471, C472, C473, C474, C475, C476, C478, C479, C480, C481, C482, C488, C490, C491, C492, C493, C494, C495, C496, C498, C499, C500, C501, C502, C503, C504, C505, C506, C508, C509, C510, C511, C512, C518, C519, C529, C530, C531, C538, C539, C540, C541, C542, C543, C548, C549, C559, C569, C570, C571, C572, C573, C574, C577, C578, C579, C589, C600, C601, C602, C608, C609, C619, C620, C621, C629, C630, C631, C632, C637, C638, C639, C649, C659, C669, C670, C671, C672, C673, C674, C675, C676, C677, C678, C679, C680, C681, C688, C689, C690, C691, C692, C693, C694, C695, C696, C698, C699, C700, C701, C709, C710, C711, C712, C713, C714, C715, C716, C717, C718, C719, C720, C721, C722, C723, C724, C725, C728, C729, C739, C740, C741, C749, C750, C751, C752, C753, C754, C755, C758, C759, C760, C761, C762, C763, C764, C765, C767, C768, C770, C771, C772, C773, C774, C775, C778, C779, C809",Hepatoblastoma is a hepatocellular tumour classified in the WHO liver/intrahepatic bile duct chapter and arises in the liver parenchyma; it is anatomically restricted to the liver.,https://whobluebooks.iarc.who.int/structures/digestive-system-tumours/,"WHO Classification of Tumours 5th ed, Digestive System (IARC Blue Books online) - liver chapter"
8000/3,"Hepatocellular neoplasm, NOS",Yes,C220,C220=Liver,1,314,Adrenal (3); Anus (4); Biliary (4); Bladder (10); Bone-limbs (6); Bone-other (7); Brain (10); Breast (9); CNS (8); Cervix (4); Colon (10); Endocrine (8); Esophagus (8); Eye (9); Female genital (8); GI tract (3); Gallbladder (1); Gum (3); Heart/mediastinum (5); Hypopharynx (5); Ill-defined (8); Kidney (1); Larynx (6); Lip (9); Liver (2); Lung (6); Lymph nodes (8); Male genital (6); Meninges (3); Mouth (9); Nasal/middle ear (2); Nasopharynx (6); Oropharynx (7); Ovary (1); Palate (5); Pancreas (8); Penis (5); Peripheral nerves (9); Peritoneum/retroperitoneum (4); Pharynx (3); Placenta (1); Prostate (1); Pyriform sinus (1); Rectosigmoid (1); Rectum (1); Renal pelvis (1); Respiratory (3); Salivary (5); Sinuses (6); Small intestine (6); Soft tissue (9); Stomach (9); Testis (3); Thymus (1); Thyroid (1); Tongue (8); Tonsil (4); Trachea (1); Unknown primary (1); Ureter (1); Urinary (4); Uterus (7); Vagina (1); Vulva (5),"C000, C001, C002, C003, C004, C005, C006, C008, C009, C019, C020, C021, C022, C023, C024, C028, C029, C030, C031, C039, C040, C041, C048, C049, C050, C051, C052, C058, C059, C060, C061, C062, C068, C069, C079, C080, C081, C088, C089, C090, C091, C098, C099, C100, C101, C102, C103, C104, C108, C109, C110, C111, C112, C113, C118, C119, C129, C130, C131, C132, C138, C139, C140, C142, C148, C150, C151, C152, C153, C154, C155, C158, C159, C160, C161, C162, C163, C164, C165, C166, C168, C169, C170, C171, C172, C173, C178, C179, C180, C181, C182, C183, C184, C185, C186, C187, C188, C189, C199, C209, C210, C211, C212, C218, C220, C221, C239, C240, C241, C248, C249, C250, C251, C252, C253, C254, C257, C258, C259, C260, C268, C269, C300, C301, C310, C311, C312, C313, C318, C319, C320, C321, C322, C323, C328, C329, C339, C340, C341, C342, C343, C348, C349, C379, C381, C382, C383, C384, C388, C390, C398, C399, C400, C401, C402, C403, C408, C409, C410, C411, C412, C413, C414, C418, C419, C470, C471, C472, C473, C474, C475, C476, C478, C479, C480, C481, C482, C488, C490, C491, C492, C493, C494, C495, C496, C498, C499, C500, C501, C502, C503, C504, C505, C506, C508, C509, C510, C511, C512, C518, C519, C529, C530, C531, C538, C539, C540, C541, C542, C543, C548, C549, C559, C569, C570, C571, C572, C573, C574, C577, C578, C579, C589, C600, C601, C602, C608, C609, C619, C620, C621, C629, C630, C631, C632, C637, C638, C639, C649, C659, C669, C670, C671, C672, C673, C674, C675, C676, C677, C678, C679, C680, C681, C688, C689, C690, C691, C692, C693, C694, C695, C696, C698, C699, C700, C701, C709, C710, C711, C712, C713, C714, C715, C716, C717, C718, C719, C720, C721, C722, C723, C724, C725, C728, C729, C739, C740, C741, C749, C750, C751, C752, C753, C754, C755, C758, C759, C760, C761, C762, C763, C764, C765, C767, C768, C770, C771, C772, C773, C774, C775, C778, C779, C809","A hepatocellular neoplasm by definition shows hepatocytic differentiation and is a primary liver tumour, restricted to the liver.",https://whobluebooks.iarc.who.int/structures/digestive-system-tumours/,"WHO Classification of Tumours 5th ed, Digestive System (IARC Blue Books online) - liver chapter"
8020/3,Undifferentiated primary liver carcinoma,Yes,C220,C220=Liver,1,216,Adrenal (3); Anus (4); Biliary (4); Bladder (10); Cervix (4); Colon (10); Endocrine (5); Esophagus (8); Eye (9); Female genital (6); GI tract (3); Gallbladder (1); Gum (3); Hypopharynx (5); Ill-defined (8); Kidney (1); Larynx (6); Lip (9); Liver (2); Lung (6); Male genital (1); Mouth (9); Nasal/middle ear (1); Nasopharynx (6); Oropharynx (6); Ovary (1); Palate (5); Pancreas (8); Penis (5); Peritoneum/retroperitoneum (2); Pharynx (3); Prostate (1); Pyriform sinus (1); Rectosigmoid (1); Rectum (1); Renal pelvis (1); Respiratory (1); Salivary (5); Sinuses (6); Small intestine (6); Stomach (9); Thymus (1); Thyroid (1); Tongue (8); Tonsil (4); Trachea (1); Unknown primary (1); Ureter (1); Urinary (1); Uterus (6); Vagina (1); Vulva (5),"C000, C001, C002, C003, C004, C005, C006, C008, C009, C019, C020, C021, C022, C023, C024, C028, C029, C030, C031, C039, C040, C041, C048, C049, C050, C051, C052, C058, C059, C060, C061, C062, C068, C069, C079, C080, C081, C088, C089, C090, C091, C098, C099, C100, C101, C102, C103, C108, C109, C110, C111, C112, C113, C118, C119, C129, C130, C131, C132, C138, C139, C140, C142, C148, C150, C151, C152, C153, C154, C155, C158, C159, C160, C161, C162, C163, C164, C165, C166, C168, C169, C170, C171, C172, C173, C178, C179, C180, C181, C182, C183, C184, C185, C186, C187, C188, C189, C199, C209, C210, C211, C212, C218, C220, C221, C239, C240, C241, C248, C249, C250, C251, C252, C253, C254, C257, C258, C259, C260, C268, C269, C300, C310, C311, C312, C313, C318, C319, C320, C321, C322, C323, C328, C329, C339, C340, C341, C342, C343, C348, C349, C379, C390, C480, C488, C510, C511, C512, C518, C519, C529, C530, C531, C538, C539, C540, C541, C543, C548, C549, C559, C569, C571, C572, C573, C574, C577, C579, C600, C601, C602, C608, C609, C619, C632, C649, C659, C669, C670, C671, C672, C673, C674, C675, C676, C677, C678, C679, C680, C690, C691, C692, C693, C694, C695, C696, C698, C699, C739, C740, C741, C749, C750, C754, C755, C758, C759, C760, C761, C762, C763, C764, C765, C767, C768, C809",Undifferentiated primary liver carcinoma is a primary epithelial neoplasm of the liver (WHO liver chapter); by definition it arises in the liver.,https://pubmed.ncbi.nlm.nih.gov/40202295/,Szeto & Mannan. Other Primary Epithelial Neoplasms of the Liver. Adv Anat Pathol 2025 (PMID 40202295)
8077/2,"Anal intraepithelial neoplasia, grade 2",Yes,"C210, C211, C212, C218",C210=Anus NOS; C211=Anal canal; C212=Cloacogenic zone; C218=Anorectum-overlapping,4,66,Anus (4); Cervix (4); Esophagus (8); Female genital (1); Gum (3); Lip (9); Lung (6); Mouth (9); Palate (3); Penis (5); Respiratory (1); Tongue (6); Trachea (1); Vagina (1); Vulva (5),"C000, C001, C002, C003, C004, C005, C006, C008, C009, C020, C021, C022, C023, C028, C029, C030, C031, C039, C040, C041, C048, C049, C050, C058, C059, C060, C061, C062, C068, C069, C150, C151, C152, C153, C154, C155, C158, C159, C210, C211, C212, C218, C339, C340, C341, C342, C343, C348, C349, C390, C510, C511, C512, C518, C519, C529, C530, C531, C538, C539, C578, C600, C601, C602, C608, C609",Anal intraepithelial neoplasia is by definition a dysplastic lesion of the anal squamous mucosa; within this code's ceiling (esophagus + anus) it is restricted to the anal sites.,https://pmc.ncbi.nlm.nih.gov/articles/PMC6214808/,"Anal Intraepithelial Neoplasia (Clinics in Colon and Rectal Surgery, PMC6214808)"
8077/2,"Anal intraepithelial neoplasia, grade III",Yes,"C210, C211, C212, C218",C210=Anus NOS; C211=Anal canal; C212=Cloacogenic zone; C218=Anorectum-overlapping,4,66,Anus (4); Cervix (4); Esophagus (8); Female genital (1); Gum (3); Lip (9); Lung (6); Mouth (9); Palate (3); Penis (5); Respiratory (1); Tongue (6); Trachea (1); Vagina (1); Vulva (5),"C000, C001, C002, C003, C004, C005, C006, C008, C009, C020, C021, C022, C023, C028, C029, C030, C031, C039, C040, C041, C048, C049, C050, C058, C059, C060, C061, C062, C068, C069, C150, C151, C152, C153, C154, C155, C158, C159, C210, C211, C212, C218, C339, C340, C341, C342, C343, C348, C349, C390, C510, C511, C512, C518, C519, C529, C530, C531, C538, C539, C578, C600, C601, C602, C608, C609",Anal intraepithelial neoplasia is by definition a dysplastic lesion of the anal squamous mucosa; within this code's ceiling (esophagus + anus) it is restricted to the anal sites.,https://pmc.ncbi.nlm.nih.gov/articles/PMC6214808/,"Anal Intraepithelial Neoplasia (Clinics in Colon and Rectal Surgery, PMC6214808)"
8077/2,"Anal intraepithelial neoplasia, high-grade",Yes,"C210, C211, C212, C218",C210=Anus NOS; C211=Anal canal; C212=Cloacogenic zone; C218=Anorectum-overlapping,4,66,Anus (4); Cervix (4); Esophagus (8); Female genital (1); Gum (3); Lip (9); Lung (6); Mouth (9); Palate (3); Penis (5); Respiratory (1); Tongue (6); Trachea (1); Vagina (1); Vulva (5),"C000, C001, C002, C003, C004, C005, C006, C008, C009, C020, C021, C022, C023, C028, C029, C030, C031, C039, C040, C041, C048, C049, C050, C058, C059, C060, C061, C062, C068, C069, C150, C151, C152, C153, C154, C155, C158, C159, C210, C211, C212, C218, C339, C340, C341, C342, C343, C348, C349, C390, C510, C511, C512, C518, C519, C529, C530, C531, C538, C539, C578, C600, C601, C602, C608, C609",Anal intraepithelial neoplasia is by definition a dysplastic lesion of the anal squamous mucosa; within this code's ceiling (esophagus + anus) it is restricted to the anal sites.,https://pmc.ncbi.nlm.nih.gov/articles/PMC6214808/,"Anal Intraepithelial Neoplasia (Clinics in Colon and Rectal Surgery, PMC6214808)"
8077/2,"esophageal squamous dysplasia, high-grade",Yes,"C150, C151, C152, C153, C154, C155, C158, C159",C150=Esophagus-cervical; C151=Esophagus-thoracic; C152=Esophagus-abdominal; C153=Esophagus-upper third; C154=Esophagus-middle third; C155=Esophagus-lower third; C158=Esophagus-overlapping; C159=Esophagus NOS,8,66,Anus (4); Cervix (4); Esophagus (8); Female genital (1); Gum (3); Lip (9); Lung (6); Mouth (9); Palate (3); Penis (5); Respiratory (1); Tongue (6); Trachea (1); Vagina (1); Vulva (5),"C000, C001, C002, C003, C004, C005, C006, C008, C009, C020, C021, C022, C023, C028, C029, C030, C031, C039, C040, C041, C048, C049, C050, C058, C059, C060, C061, C062, C068, C069, C150, C151, C152, C153, C154, C155, C158, C159, C210, C211, C212, C218, C339, C340, C341, C342, C343, C348, C349, C390, C510, C511, C512, C518, C519, C529, C530, C531, C538, C539, C578, C600, C601, C602, C608, C609","Esophageal squamous dysplasia / high-grade squamous intraepithelial neoplasia is defined as the precursor of esophageal squamous cell carcinoma; the qualifier confines it to the esophagus, a proper subset of this code's esophagus+anus ceiling.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4316110/,"Esophageal squamous intraepithelial neoplasia grading (WJG, PMC4316110)"
8077/2,"esophageal squamous intraepithelial neoplasia, high-grade",Yes,"C150, C151, C152, C153, C154, C155, C158, C159",C150=Esophagus-cervical; C151=Esophagus-thoracic; C152=Esophagus-abdominal; C153=Esophagus-upper third; C154=Esophagus-middle third; C155=Esophagus-lower third; C158=Esophagus-overlapping; C159=Esophagus NOS,8,66,Anus (4); Cervix (4); Esophagus (8); Female genital (1); Gum (3); Lip (9); Lung (6); Mouth (9); Palate (3); Penis (5); Respiratory (1); Tongue (6); Trachea (1); Vagina (1); Vulva (5),"C000, C001, C002, C003, C004, C005, C006, C008, C009, C020, C021, C022, C023, C028, C029, C030, C031, C039, C040, C041, C048, C049, C050, C058, C059, C060, C061, C062, C068, C069, C150, C151, C152, C153, C154, C155, C158, C159, C210, C211, C212, C218, C339, C340, C341, C342, C343, C348, C349, C390, C510, C511, C512, C518, C519, C529, C530, C531, C538, C539, C578, C600, C601, C602, C608, C609","Esophageal squamous dysplasia / high-grade squamous intraepithelial neoplasia is defined as the precursor of esophageal squamous cell carcinoma; the qualifier confines it to the esophagus, a proper subset of this code's esophagus+anus ceiling.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4316110/,"Esophageal squamous intraepithelial neoplasia grading (WJG, PMC4316110)"
8140/2,"Oxyntic gland adenoma, high-grade",Yes,"C160, C161, C162, C163, C164, C165, C166, C168, C169",C160=Stomach-cardia; C161=Stomach-fundus; C162=Stomach-body; C163=Stomach-antrum; C164=Stomach-pylorus; C165=Stomach-lesser curv; C166=Stomach-greater curv; C168=Stomach-overlapping; C169=Stomach NOS,9,131,Adrenal (3); Anus (4); Biliary (4); Bladder (10); Cervix (4); Colon (10); Endocrine (7); Esophagus (8); Eye (9); GI tract (1); Gallbladder (1); Ill-defined (8); Liver (1); Lung (6); Male genital (1); Pancreas (8); Penis (5); Rectosigmoid (1); Rectum (1); Renal pelvis (1); Skin (10); Small intestine (6); Stomach (9); Thyroid (1); Unknown primary (1); Ureter (1); Urinary (1); Uterus (3); Vagina (1); Vulva (5),"C150, C151, C152, C153, C154, C155, C158, C159, C160, C161, C162, C163, C164, C165, C166, C168, C169, C170, C171, C172, C173, C178, C179, C180, C181, C182, C183, C184, C185, C186, C187, C188, C189, C199, C209, C210, C211, C212, C218, C221, C239, C240, C241, C248, C249, C250, C251, C252, C253, C254, C257, C258, C259, C260, C340, C341, C342, C343, C348, C349, C440, C441, C442, C443, C444, C445, C446, C447, C448, C449, C510, C511, C512, C518, C519, C529, C530, C531, C538, C539, C541, C549, C559, C600, C601, C602, C608, C609, C632, C659, C669, C670, C671, C672, C673, C674, C675, C676, C677, C678, C679, C680, C690, C691, C692, C693, C694, C695, C696, C698, C699, C739, C740, C741, C749, C750, C751, C752, C754, C755, C758, C759, C760, C761, C762, C763, C764, C765, C767, C768, C809",Oxyntic gland adenoma is a WHO gastric entity confined to the stomach (predominantly upper stomach).,https://pmc.ncbi.nlm.nih.gov/articles/PMC11471317/,Kim GH et al. Oxyntic Gland Neoplasms. J Gastric Cancer 2024 (PMC11471317)
8140/2,"Oxyntic gland polyp, high-grade",Yes,"C160, C161, C162, C163, C164, C165, C166, C168, C169",C160=Stomach-cardia; C161=Stomach-fundus; C162=Stomach-body; C163=Stomach-antrum; C164=Stomach-pylorus; C165=Stomach-lesser curv; C166=Stomach-greater curv; C168=Stomach-overlapping; C169=Stomach NOS,9,131,Adrenal (3); Anus (4); Biliary (4); Bladder (10); Cervix (4); Colon (10); Endocrine (7); Esophagus (8); Eye (9); GI tract (1); Gallbladder (1); Ill-defined (8); Liver (1); Lung (6); Male genital (1); Pancreas (8); Penis (5); Rectosigmoid (1); Rectum (1); Renal pelvis (1); Skin (10); Small intestine (6); Stomach (9); Thyroid (1); Unknown primary (1); Ureter (1); Urinary (1); Uterus (3); Vagina (1); Vulva (5),"C150, C151, C152, C153, C154, C155, C158, C159, C160, C161, C162, C163, C164, C165, C166, C168, C169, C170, C171, C172, C173, C178, C179, C180, C181, C182, C183, C184, C185, C186, C187, C188, C189, C199, C209, C210, C211, C212, C218, C221, C239, C240, C241, C248, C249, C250, C251, C252, C253, C254, C257, C258, C259, C260, C340, C341, C342, C343, C348, C349, C440, C441, C442, C443, C444, C445, C446, C447, C448, C449, C510, C511, C512, C518, C519, C529, C530, C531, C538, C539, C541, C549, C559, C600, C601, C602, C608, C609, C632, C659, C669, C670, C671, C672, C673, C674, C675, C676, C677, C678, C679, C680, C690, C691, C692, C693, C694, C695, C696, C698, C699, C739, C740, C741, C749, C750, C751, C752, C754, C755, C758, C759, C760, C761, C762, C763, C764, C765, C767, C768, C809","An oxyntic gland (fundic-gland-differentiated) polyp/neoplasm is a gastric lesion of the oxyntic mucosa, confined to the stomach.",https://pmc.ncbi.nlm.nih.gov/articles/PMC11471317/,Kim GH et al. Oxyntic Gland Neoplasms. J Gastric Cancer 2024 (PMC11471317)
