Key,FullKey,C_Site,Hist,Behavior,CPC2024B,CPC2025B,CPC2026A
80003,C00080003,C000,8000,3,1,1,1
80013,C00080013,C000,8001,3,1,1,1
80023,C00080023,C000,8002,3,1,1,1
80033,C00080033,C000,8003,3,1,1,1
80043,C00080043,C000,8004,3,1,1,1
80053,C00080053,C000,8005,3,1,1,1
80102,C00080102,C000,8010,2,1,1,2
80103,C00080103,C000,8010,3,1,1,2
80113,C00080113,C000,8011,3,1,1,3
80123,C00080123,C000,8012,3,1,1,3
80133,C00080133,C000,8013,3,1,1,1
80143,C00080143,C000,8014,3,1,1,3
80153,C00080153,C000,8015,3,1,1,3
80203,C00080203,C000,8020,3,1,1,1
80213,C00080213,C000,8021,3,1,1,3
80223,C00080223,C000,8022,3,1,1,3
80303,C00080303,C000,8030,3,1,1,3
80313,C00080313,C000,8031,3,1,1,1
80323,C00080323,C000,8032,3,1,1,1
80333,C00080333,C000,8033,3,1,1,3
80343,C00080343,C000,8034,3,1,1,3
80353,C00080353,C000,8035,3,1,1,2
80413,C00080413,C000,8041,3,9,9,1
80423,C00080423,C000,8042,3,9,9,3
80433,C00080433,C000,8043,3,9,9,3
80443,C00080443,C000,8044,3,9,9,3
80453,C00080453,C000,8045,3,9,9,1
80502,C00080502,C000,8050,2,1,1,3
80503,C00080503,C000,8050,3,1,1,3
80512,C00080512,C000,8051,2,9,9,3
80513,C00080513,C000,8051,3,1,1,1
80522,C00080522,C000,8052,2,1,1,1
80523,C00080523,C000,8052,3,1,1,1
80543,C00080543,C000,8054,3,9,9,3
80702,C00080702,C000,8070,2,1,1,1
80703,C00080703,C000,8070,3,1,1,1
80712,C00080712,C000,8071,2,9,9,3
80713,C00080713,C000,8071,3,1,1,1
80722,C00080722,C000,8072,2,9,9,3
80723,C00080723,C000,8072,3,1,1,2
80733,C00080733,C000,8073,3,1,1,3
80742,C00080742,C000,8074,2,9,9,3
80743,C00080743,C000,8074,3,1,1,1
80752,C00080752,C000,8075,2,9,9,3
80753,C00080753,C000,8075,3,1,1,1
80762,C00080762,C000,8076,2,1,1,1
80763,C00080763,C000,8076,3,1,1,1
80772,C00080772,C000,8077,2,9,9,1
80783,C00080783,C000,8078,3,1,1,3
80802,C00080802,C000,8080,2,9,9,3
80812,C00080812,C000,8081,2,1,1,3
80813,C00080813,C000,8081,3,9,9,3
80823,C00080823,C000,8082,3,1,1,1
80832,C00080832,C000,8083,2,9,9,3
80833,C00080833,C000,8083,3,1,1,1
80843,C00080843,C000,8084,3,1,1,2
80853,C00080853,C000,8085,3,9,9,3
80863,C00080863,C000,8086,3,9,9,3
80902,C00080902,C000,8090,2,9,9,3
80942,C00080942,C000,8094,2,9,9,3
80953,C00080953,C000,8095,3,9,9,3
81202,C00081202,C000,8120,2,9,9,3
81203,C00081203,C000,8120,3,9,9,3
81213,C00081213,C000,8121,3,9,9,3
81223,C00081223,C000,8122,3,9,9,3
81233,C00081233,C000,8123,3,9,9,3
81243,C00081243,C000,8124,3,9,9,3
81302,C00081302,C000,8130,2,9,9,3
81303,C00081303,C000,8130,3,9,9,3
81313,C00081313,C000,8131,3,9,9,3
81402,C00081402,C000,8140,2,1,1,3
81403,C00081403,C000,8140,3,1,1,2
81413,C00081413,C000,8141,3,1,1,3
