ICDO32_Code	Term	PrefTerm
8000/0	Neoplasm, benign	1
8000/0	Tumor, benign	NULL
8000/0	Unclassified tumor, benign	NULL
8000/1	Neoplasm, NOS	NULL
8000/1	Neoplasm, uncertain whether benign or malignant	1
8000/1	Tumor, NOS	NULL
8000/1	Unclassified tumor, borderline malignancy	NULL
8000/1	Unclassified tumor, uncertain whether benign or malignant	NULL
8000/3	Blastoma, NOS	NULL
8000/3	Cancer	NULL
8000/3	Hepatoblastoma, hepatocellular neoplasm NOS subtype	NULL
8000/3	Hepatocellular neoplasm, NOS	NULL
8000/3	Malignancy	NULL
8000/3	Neoplasm, malignant	1
8000/3	Tumor, malignant, NOS	NULL
8000/3	Unclassified tumor, malignant	NULL
8000/6	Neoplasm, metastatic	1
8000/6	Neoplasm, secondary	NULL
8000/6	Tumor embolus	NULL
8000/6	Tumor, metastatic	NULL
8000/6	Tumor, secondary	NULL
8000/9	Neoplasm, malignant, uncertain whether primary or metastatic	1
8000/9	Unclassified tumor, malignant, uncertain whether primary or metastatic	NULL
8001/0	Tumor cells, benign	1
8001/1	Tumor cells, NOS	NULL
8001/1	Tumor cells, uncertain whether benign or malignant	1
8001/3	Tumor cells, malignant	1
8002/3	Malignant tumor, small cell type	1
8003/3	Malignant tumor, giant cell type	1
8004/1	Spindle cell tumor of uncertain malignant potential	NULL
8004/3	Malignant tumor, fusiform cell type	NULL
8004/3	Malignant tumor, spindle cell type	1
8005/0	Clear cell tumor, NOS	1
8005/3	Malignant tumor, clear cell type	1
8010/0	Epithelial tumor, benign	1
8010/2	Carcinoma in situ, NOS	1
8010/2	Intraepithelial carcinoma, NOS	NULL
8010/3	Carcinoma, NOS	1
8010/3	Epithelial tumor, malignant	NULL
8010/3	Heterotopia-associated carcinoma	NULL
8010/3	Salivary carcinoma	NULL
8010/3	Thyroid carcinoma	NULL
8010/3	Urachal carcinoma	NULL
8010/6	Carcinoma, metastatic, NOS	1
8010/6	Secondary carcinoma	NULL
8010/6	Squamous carcinoma of unknown primary	NULL
8010/9	Carcinomatosis	1
8011/0	Epithelioma, benign	1
8011/3	Epithelioma, malignant	1
8011/3	Epithelioma, NOS	NULL
8012/3	Large cell carcinoma, NOS	1
8013/3	Combined large cell neuroendocrine carcinoma	NULL
8013/3	Large cell neuroendocrine carcinoma	1
8013/3	Neuroendocrine carcinoma, large cell	NULL
8013/3	Poorly differentiated neuroendocrine carcinoma, large cell type	NULL
8014/3	Carcinoma, rhabdoid	NULL
8014/3	Large cell carcinoma with rhabdoid phenotype	1
8014/3	Rhabdoid carcinoma	NULL
8014/3	Undifferentiated carcinoma with rhabdoid cells	NULL
8015/3	Glassy cell carcinoma	1
8020/3	Anaplastic thyroid carcinoma	NULL
8020/3	Anaplastic undifferentiated carcinoma	NULL
8020/3	Carcinoma, poorly differentiated, NOS	NULL
8020/3	Carcinoma, unclassifiable	NULL
8020/3	Carcinoma, undifferentiated, NOS	1
8020/3	Dedifferentiated carcinoma	NULL
8020/3	Poorly differentiated urothelial carcinoma	NULL
8020/3	Sinonasal undifferentiated carcinoma	NULL
8020/3	Undifferentiated carcinoma	NULL
8020/3	Undifferentiated primary liver carcinoma	NULL
8020/3	Undifferentiated thyroid carcinoma	NULL
8021/3	Carcinoma, anaplastic, NOS	1
8022/3	Carcinoma, pleomorphic giant cell	NULL
8022/3	Pleomorphic carcinoma	1
8022/3	Pleomorphic giant cell carcinoma	NULL
8023/3	Carcinoma, NUT adnexal	NULL
8023/3	Nuclear protein in testis (NUT)-associated carcinoma	1
8023/3	NUT carcinoma	NULL
8023/3	NUT midline carcinoma	NULL
8030/3	Giant cell and spindle cell carcinoma	1
8031/3	Giant cell carcinoma	1
8031/3	Giant cell urothelial carcinoma	NULL
8032/3	Spindle cell carcinoma, NOS	1
8033/3	Carcinoma with mesenchymal differentiation	NULL
8033/3	Carcinoma with sarcomatoid component	NULL
8033/3	Pseudosarcomatous carcinoma	1
8033/3	Salivary duct carcinoma, sarcomatoid	NULL
8033/3	Sarcomatoid carcinoma	NULL
8033/3	Sarcomatoid salivary duct carcinoma	NULL
8034/3	Polygonal cell carcinoma	1
8035/3	Carcinoma with osteoclast-like giant cells	1
8035/3	Osteoclastic giant cell carcinoma	NULL
8035/3	Squamous carcinoma with osteoclast-like giant cells	NULL
8035/3	Undifferentiated carcinoma with osteoclast-like giant cells	NULL
8040/0	Diffuse idiopathic neuroendocrine cell hyperplasia	NULL
8040/0	Tumorlet, benign	1
8040/1	Tumorlet, NOS	1
8041/3	High-grade neuroendocrine carcinoma	NULL
8041/3	Neuroendocrine carcinoma, small cell	NULL
8041/3	Oat cell carcinoma	NULL
8041/3	Poorly differentiated neuroendocrine carcinoma, small cell type	NULL
8041/3	Reserve cell carcinoma	NULL
8041/3	Round cell carcinoma	NULL
8041/3	Small cell carcinoma, fusiform cell	NULL
8041/3	Small cell carcinoma, intermediate cell	NULL
8041/3	Small cell carcinoma, NOS	1
8041/3	Small cell carcinoma, pulmonary type	NULL
8041/3	Small cell lung carcinoma	NULL
8041/3	Small cell neuroendocrine carcinoma	NULL
8041/3	Small cell undifferentiated carcinoma	NULL
8042/3	Oat cell carcinoma	1
8043/3	Small cell carcinoma, fusiform cell	1
8044/3	Small cell carcinoma of the ovary, hypercalcemic type	NULL
8044/3	Small cell carcinoma of the ovary, hypercalcemic type, large cell subtype	NULL
8044/3	Small cell carcinoma, hypercalcemic type	NULL
8044/3	Small cell carcinoma, hypercalcemic type, large cell subtype	NULL
8044/3	Small cell carcinoma, intermediate cell	1
8044/3	Small cell carcinoma, large cell subtype	NULL
8044/3	Small cell carcinoma, large cell variant	NULL
8044/3	SMARCA4-deficient carcinoma of ovary	NULL
8044/3	SMARCA4-deficient sinonasal carcinoma	NULL
8044/3	SMARCA4-deficient undifferentiated sinonasal carcinoma	NULL
8044/3	SMARCA4-deficient undifferentiated tumor	NULL
8044/3	SMARCB1-deficient sinonasal adenocarcinoma	NULL
8044/3	SMARCB1-deficient sinonasal carcinoma	NULL
8044/3	SMARCB1-deficient undifferentiated sinonasal carcinoma	NULL
8044/3	SWI/SNF complex-deficient sinonasal carcinoma	NULL
8044/3	Thoracic SMARCA4-deficient undifferentiated tumor	NULL
8045/3	Combined small cell carcinoma	1
8045/3	Combined small cell neuroendocrine carcinoma	NULL
8045/3	Combined small cell-adenocarcinoma	NULL
8045/3	Combined small cell-large cell carcinoma	NULL
8045/3	Combined small cell-large cell neuroendocrine carcinoma	NULL
8045/3	Combined small cell-squamous cell carcinoma	NULL
8045/3	Combined small cell-urothelial carcinoma	NULL
8045/3	Mixed small cell carcinoma	NULL
8045/3	Small cell and large cell endocrine carcinoma	NULL
8046/3	Non-small cell carcinoma	1
8050/0	Papilloma, NOS	1
8050/2	Papillary carcinoma in situ, NOS	1
8050/3	Papillary carcinoma, NOS	1
8051/0	Verrucous papilloma	1
8051/3	Carcinoma cuniculatum	NULL
8051/3	Verrucous carcinoma (including carcinoma cuniculatum)	NULL
8051/3	Verrucous carcinoma, NOS	1
8051/3	Verrucous epidermoid carcinoma	NULL
8051/3	Verrucous squamous cell carcinoma	NULL
8052/0	Benign keratosis, NOS	NULL
8052/0	Caruncular papilloma	NULL
8052/0	Conjunctival papilloma	NULL
8052/0	Hirsuties papillaris vulvae	NULL
8052/0	Irritated seborrhoeic keratosis	NULL
8052/0	Keratocystoma	NULL
8052/0	Keratotic papilloma	NULL
8052/0	Laryngeal papillomatosis	NULL
8052/0	Lichen planus–like keratosis	NULL
8052/0	Lichenoid keratosis	NULL
8052/0	Longitudinal subungual acanthoma	NULL
8052/0	Melanoacanthoma	NULL
8052/0	Micropapillomatosis labialis	NULL
8052/0	Onychocytic matricoma	NULL
8052/0	Onychopapilloma	NULL
8052/0	Other benign keratoses	NULL
8052/0	Seborrhoeic keratosis	NULL
8052/0	Seborrhoeic keratosis, irritated	NULL
8052/0	Solar lentigo	NULL
8052/0	Solitary vaginal papilloma	NULL
8052/0	Squamous cell papilloma, exophytic	NULL
8052/0	Squamous cell papilloma, mixed	NULL
8052/0	Squamous cell papilloma, NOS	1
8052/0	Squamous papilloma	NULL
8052/0	Squamous papilloma of the larynx	NULL
8052/0	Squamous papilloma with low-grade dysplasia	NULL
8052/0	Squamous papilloma, exophytic	NULL
8052/0	Squamous papilloma, mixed	NULL
8052/0	Stucco keratosis	NULL
8052/0	Ungual fibrokeratoma	NULL
8052/0	Urothelial squamous cell papilloma	NULL
8052/0	Vaginal papilloma	NULL
8052/0	Vestibular micropapillomatosis	NULL
8052/0	Vestibular papillomatosis	NULL
8052/2	Papillary squamous cell carcinoma in situ	NULL
8052/2	Papillary squamous cell carcinoma, non-invasive	1
8052/2	Squamous papilloma with high-grade dysplasia	NULL
8052/3	Papillary epidermoid carcinoma	NULL
8052/3	Papillary squamous cell carcinoma	1
8053/0	Squamous cell papilloma, endophytic	NULL
8053/0	Squamous cell papilloma, inverted	1
8053/0	Squamous papilloma, inverted	NULL
8054/0	Warty dyskeratoma	1
8054/3	Condylomatous carcinoma	NULL
8054/3	Warty carcinoma	1
8054/3	Warty carcinoma, HPV-associated	NULL
8054/3	Warty-basaloid carcinoma	NULL
8060/0	Papillomatosis, NOS	NULL
8060/0	Squamous cell papillomatosis	NULL
8060/0	Squamous papillomatosis	1
8060/0	Squamous papillomatosis of the larynx	NULL
8070/0	Actinic keratosis	1
8070/0	Actinic keratosis, hypertrophic	NULL
8070/0	Actinic keratosis, lichenoid	NULL
8070/0	Actinic keratosis, pigmented	NULL
8070/0	Actinic keratosis, proliferative	NULL
8070/0	Arsenical keratosis	NULL
8070/0	Hypertrophic actinic keratosis	NULL
8070/0	Lichenoid actinic keratosis	NULL
8070/0	Low-grade squamous intraepithelial lesion	NULL
8070/0	Pigmented actinic keratosis	NULL
8070/0	Proliferative actinic keratosis	NULL
8070/0	PUVA keratosis	NULL
8070/2	Actinic keratosis with high-grade dysplasia	NULL
8070/2	Bowen disease	NULL
8070/2	Bowenoid papulosis	NULL
8070/2	Epidermoid carcinoma in situ, NOS	NULL
8070/2	Intraepidermal carcinoma, NOS	NULL
8070/2	Intraepidermal squamous cell carcinoma, Bowen type	NULL
8070/2	Intraepithelial squamous cell carcinoma	NULL
8070/2	Squamous cell carcinoma in situ (Bowen disease)	NULL
8070/2	Squamous cell carcinoma in situ, NOS	1
8070/3	Epidermoid carcinoma, NOS	NULL
8070/3	Hybrid verrucous carcinoma	NULL
8070/3	Nasopharyngeal carcinoma	NULL
8070/3	Pure squamous carcinoma of urothelial tract	NULL
8070/3	Pure urothelial squamous cell carcinoma	NULL
8070/3	Squamous carcinoma	NULL
8070/3	Squamous cell carcinoma, NOS	1
8070/3	Squamous cell carcinoma, usual type	NULL
8070/3	Squamous cell epithelioma	NULL
8070/6	Squamous cell carcinoma, metastatic, NOS	1
8071/1	Generalized eruptive keratoacanthoma of Grzybowski	NULL
8071/1	Giant keratoacanthoma	NULL
8071/1	Keratoacanthoma	NULL
8071/1	Keratoacanthoma centrifugum marginatum	NULL
8071/1	Keratoacanthoma, subungual	NULL
8071/1	Multiple self-healing epitheliomas of Ferguson Smith	NULL
8071/1	Subungual keratoacanthoma	NULL
8071/1	Subungual tumor of incontinentia pigmenti	NULL
8071/2	Differentiated exophytic vulvar intraepithelial lesion	NULL
8071/2	Differentiated intraepithelial neoplasia	NULL
8071/2	Differentiated penile intraepithelial neoplasia	NULL
8071/2	Differentiated penile intraepithelial neoplasia (PeIN)	NULL
8071/2	Differentiated vulvar intraepithelial neoplasia (VIN)	NULL
8071/2	Vulvar acanthosis with altered differentiation	NULL
8071/2	Vulvar intraepithelial neoplasia, HPV-independent	NULL
8071/3	Epidermoid carcinoma, keratinizing	NULL
8071/3	Keratinizing squamous cell carcinoma	NULL
8071/3	Sinonasal keratinizing squamous cell carcinoma	NULL
8071/3	Squamous cell carcinoma, keratinizing, NOS	1
8071/3	Squamous cell carcinoma, large cell, keratinizing	NULL
8072/0	Large cell acanthoma	1
8072/3	Cylindrical cell carcinoma	NULL
8072/3	DEK::AFF2 squamous carcinoma	NULL
8072/3	DEK::AFF2 squamous cell carcinoma	NULL
8072/3	Epidermoid carcinoma, large cell, nonkeratinizing	NULL
8072/3	Non-keratinizing squamous cell carcinoma	NULL
8072/3	Schneiderian carcinoma	NULL
8072/3	Squamous cell carcinoma, large cell, nonkeratinizing, NOS	1
8072/3	Squamous cell carcinoma, nonkeratinizing, NOS	NULL
8072/3	Transitional cell carcinoma of head and neck, NOS	NULL
8073/3	Epidermoid carcinoma, small cell, nonkeratinizing	NULL
8073/3	Squamous cell carcinoma, small cell, nonkeratinizing	1
8074/3	Epidermoid carcinoma, spindle cell	NULL
8074/3	Pseudovascular squamous cell carcinoma	NULL
8074/3	Sarcomatoid squamous cell carcinoma	NULL
8074/3	Spindle cell squamous cell carcinoma	NULL
8074/3	Squamous cell carcinoma with a spindle cell component	NULL
8074/3	Squamous cell carcinoma with sarcomatoid differentiation	NULL
